%TITLE%
 OUN   240316/1200
 Saved by user: Sean on 20240316/1647 UTC
   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
  200.00,  11980.00,    -64.89,    -74.09,    250.00,     95.01
  199.00,  12010.83,    -65.03,    -76.03,    249.83,     84.68
  198.00,  12041.83,    -65.35,    -76.00,  -9999.00,  -9999.00
  197.00,  12073.05,    -65.46,    -77.18,    236.57,     98.85
  194.00,  12167.67,    -65.70,    -77.15,  -9999.00,  -9999.00
  193.00,  12199.74,    -66.51,    -76.51,  -9999.00,  -9999.00
  192.00,  12232.49,    -66.36,    -76.16,    260.00,     97.01
  190.00,  12298.49,    -67.39,    -76.51,  -9999.00,  -9999.00
  185.00,  12468.46,    -68.47,    -80.13,    245.63,     92.10
  179.00,  12678.58,    -69.69,    -81.90,  -9999.00,  -9999.00
  174.00,  12860.13,    -70.89,    -82.14,    255.00,     75.99
  167.00,  13123.27,    -70.57,    -82.50,    265.00,     71.00
  150.00,  13810.00,    -66.24,    -76.51,    260.00,     77.00
  111.00,  15682.11,    -65.02,    -82.96,    270.00,     83.00
  110.00,  15738.38,    -65.30,    -81.23,  -9999.00,  -9999.00
  109.00,  15793.85,    -65.50,    -81.49,    275.00,     81.00
  106.00,  15964.19,    -67.15,    -81.54,  -9999.00,  -9999.00
  100.00,  16320.00,    -65.30,    -82.00,    265.00,     65.00
   94.00,  16694.75,    -66.89,    -89.09,    265.00,     72.01
   92.50,  16792.17,    -67.30,    -89.30,  -9999.00,  -9999.00
   90.20,  16945.48,    -63.10,    -89.10,  -9999.00,  -9999.00
   88.80,  17041.73,    -62.90,    -88.90,  -9999.00,  -9999.00
   85.00,  17308.15,    -64.27,    -89.34,    290.00,     39.01
   77.20,  17894.47,    -67.30,    -90.30,  -9999.00,  -9999.00
   75.00,  18070.33,    -66.18,    -89.77,    285.00,     40.00
   73.00,  18234.74,    -65.13,    -89.27,    280.00,     37.01
   70.00,  18490.00,    -63.50,    -88.50,    295.00,     33.00
   68.20,  18649.95,    -63.50,    -88.50,  -9999.00,  -9999.00
   67.00,  18757.90,    -63.99,    -88.75,    285.00,     23.00
   63.00,  19132.24,    -65.69,    -89.59,    270.00,     29.00
   59.00,  19531.15,    -67.50,    -90.50,    290.00,     37.01
   58.00,  19634.46,    -66.50,    -90.22,    295.00,     37.01
   57.60,  19676.28,    -66.10,    -90.10,  -9999.00,  -9999.00
   51.90,  20305.38,    -67.90,    -89.90,  -9999.00,  -9999.00
   50.00,  20530.00,    -67.10,    -90.10,    285.00,     25.99
   49.00,  20652.51,    -66.97,    -90.13,    280.00,     25.99
   47.00,  20905.23,    -66.71,    -90.20,    305.00,     27.99
   45.00,  21168.93,    -66.43,    -90.27,    285.00,     27.00
   40.00,  21883.20,    -65.68,    -90.46,    310.00,     25.00
   38.90,  22052.30,    -65.50,    -90.50,  -9999.00,  -9999.00
   38.00,  22196.31,    -64.12,    -90.37,    310.00,     13.00
   37.00,  22360.38,    -62.55,    -90.23,    275.00,     12.00
   36.10,  22511.87,    -61.10,    -90.10,  -9999.00,  -9999.00
   35.00,  22703.52,    -62.07,    -89.86,    245.00,     19.00
   34.30,  22828.64,    -62.70,    -89.70,  -9999.00,  -9999.00
   34.00,  22883.13,    -62.46,    -89.68,    250.00,     21.00
   33.00,  23068.28,    -61.66,    -89.61,    285.00,     22.01
   31.60,  23337.14,    -60.50,    -89.50,  -9999.00,  -9999.00
   30.00,  23660.00,    -61.90,    -89.90,    285.00,     19.00
   29.00,  23868.94,    -62.50,    -89.50,  -9999.00,  -9999.00
   28.00,  24085.11,    -62.37,    -89.69,    300.00,     25.99
   26.00,  24541.63,    -62.10,    -90.10,    325.00,     21.00
   25.00,  24784.73,    -60.65,    -89.97,    300.00,     16.01
   24.50,  24909.95,    -59.90,    -89.90,  -9999.00,  -9999.00
   24.00,  25037.45,    -60.76,    -89.95,    330.00,     14.01
   23.00,  25300.62,    -62.55,    -90.07,    310.00,     12.00
   22.70,  25381.80,    -63.10,    -90.10,  -9999.00,  -9999.00
